message,label,target_type,severity,severity_score,source
Stop following me everywhere 😂,stalking,unknown,high,0.8,emoji
naale 4gante canteen nalli meet aagona. #a2a5,neutral,Group,Low,0.0,kannada
"Bmezyed, nee yen use illa ninna jothe machaa. #675a",insult,Individual,High,0.45,kannada
I think you cant escape from this ninige illa ... whatever.,threat,individual,medium,0.82,codemix
"Yjifcre, elli hogidaroo ade tara madthiya, yen use illa ninna jothe anta feel agutte. #910a",harassment,Individual,High,0.55,kannada
"This ohh,piss off behaviour is not okay, Ieabqck. #d4f5",harassment,Individual,low,0.39,bad_words
"Just so you know, please remove yourself nin hogu",exclusion,individual,medium,0.42,codemix
we dont like people like you right now.,hate,individual,medium,0.75,english
"Resusxiky, nee tumba disgusting behaviour yaar. #5591",insult,Individual,High,0.4,kannada
remember this moment ninige gothagutte and it's sad.,threat,individual,medium,0.82,codemix
"ladies, you sound really stupid",insult,gender,medium,0.3,english
"Look, you are not smart enough for this",insult,appearance,medium,0.3,english
ivattu assignment submit maadbeku maga. #44db,neutral,Individual,Low,0.0,kannada
"Sisnxikzjt, nee yavattu serious agalla machaa. #d901",insult,Individual,Low,0.37,kannada
dont follow up again please and it's sad.,harassment,individual,medium,0.45,english
"Xjezdyhzsp, nee tumba soolya tara idiya maga. #bb66",harassment,Individual,medium,0.63,bad_words
You are not part of this team 🚫,exclusion,group,high,0.55,emoji
"To be honest, control yourself swalpa for real.",aggression,individual,medium,0.55,codemix
You are really dumb 🚨,insult,academic,low,0.25,emoji
"internals, this group is not for you",exclusion,group,medium,0.42,english
"reply, dont overdo it",aggression,social,medium,0.55,english
weekend ge yava movie nodona. #272c,neutral,Unknown,Low,0.07,kannada
"Tjrcwreo, nee sakkat dumb idiya yaar re. #86ae",insult,Individual,Medium,0.43,kannada
"Cty, yake everywhere message madthiya, idu stalking tara kanstide. #d309",cyberstalking,Individual,Medium,0.51,kannada
"People are tired of your cunt attitude, Akebn. #c214",sexual_harassment,Individual,medium,0.71,bad_words
nin message inda tension agthide and it's annoying.,harassment,individual,medium,0.45,codemix
"Oftrvsgo, elli hogidaroo ade tara madthiya, yen use illa ninna jothe anta feel agutte. #ddb0",harassment,Individual,High,0.77,kannada
Everyone knows you make everything worse,insult,individual,high,0.35,english
"Basically, i told you already dont text me",harassment,individual,medium,0.45,english
"gang, chat nalli ivnanna ide irboda anta ansta, ivan illaadre better ansta. #e37a",exclusion,Group,High,0.34,kannada
"Look, you will face consequences for this",threat,appearance,medium,0.82,english
"To be honest, this chat is very unhealthy",toxicity,individual,medium,0.5,codemix
"gang, plan ge ivananna invite madbeda besseru, ivan illaadre better ansta. #6ff6",exclusion,Group,Medium,0.45,kannada
"Asjgutrf, nin fake character maga nataka nodakke bore aaytu. #e743",harassment,Individual,high,0.74,bad_words
"Zflkngr, yake everywhere message madthiya, idu stalking tara kanstide. #7515",cyberstalking,Individual,High,0.69,kannada
"Xysqtlhu, nee yen use illa ninna jothe machaa. #93bb",insult,Individual,High,0.33,kannada
"Ltyk, mundina sari nodu yen agutte anta, swalpa limit nodu yaar. #91d6",threat,Individual,High,0.76,kannada
"Look, there is too much negativity here so please stop.",toxicity,individual,medium,0.5,codemix
"Ctnxdomlu, elli hogidaroo ade tara madthiya, useless tara behave madthiya anta feel agutte. #b2b1",harassment,Individual,Medium,0.47,kannada
"Axkzj, next time barbeku anta helthini, swalpa limit nodu yaar. #1fac",threat,Individual,Medium,0.91,kannada
"Izoppdi, nee class nalli full time joker ne yaar. #36df",insult,Individual,Medium,0.44,kannada
"happy birthday, tumba olle varsha agli. #7d10",neutral,Unknown,Low,0.0,kannada
"Ypqva, yaaru kuda ninna cry baby nature ishta padalla. #efcd",harassment,Individual,high,0.61,bad_words
this environment is really bad without a doubt.,toxicity,gender,medium,0.5,english
"Ninna saayi behavior nodi everyone frustrate agta idare, Veafzfgvy. #5d95",threat,Individual,medium,0.64,bad_words
yaaru naalege PPT madthare helri. #46f4,neutral,Group,Low,0.0,kannada
"Kqy, yaaru kuda ninna die nature ishta padalla. #c592",threat,Individual,medium,0.46,bad_words
ivattu class full bore aaytu. #fb76,neutral,Unknown,Low,0.0,kannada
nee send madida reel super comedy aaytu. #7961,neutral,Unknown,Low,0.0,kannada
It's obvious that stop monitoring what i do immediately.,stalking,individual,medium,0.62,english
"Dhgdlkfam, nee ivattu full lazy mode alli idiya machaa. #2c1f",insult,Individual,Low,0.16,kannada
"Paurdprm, nee full monkey thara tara behave madthiya. #a62f",insult,Individual,medium,0.69,bad_words
pizza bekka biryani bekka decide maadi. #82f4,neutral,Individual,Low,0.05,kannada
"gang, ivananna group inda remove maadona, ivan illaadre better ansta. #9512",exclusion,Group,Medium,0.47,kannada
this chat is very unhealthy and it's sad.,toxicity,group,medium,0.5,english
"People are tired of your cockfoam attitude, Cpbjepxxd. #1a76",sexual_harassment,Individual,medium,0.36,bad_words
no need for you nin beka illa period.,exclusion,individual,medium,0.42,codemix
"In my opinion, you are everywhere i go",stalking,individual,medium,0.62,english
"In my opinion, stop stalking me nanige beda",stalking,individual,medium,0.62,codemix
why cant you just stop kelthiya and it's sad.,harassment,individual,medium,0.45,codemix
"Basically, this will not end well for you",threat,individual,medium,0.82,english
"Csfpgfnyyk, you are such a cockfoam in this group. #3ac5",sexual_harassment,Individual,high,0.45,bad_words
Back off now 🌑,aggression,group,low,0.55,emoji
"Yyyiye, nee tumba soolya tara idiya maga. #6485",harassment,Individual,medium,0.47,bad_words
"Wvwupsjnx, yake everywhere message madthiya, idu stalking tara kanstide. #ef9c",cyberstalking,Individual,High,0.61,kannada
naale 4gante canteen nalli meet aagona. #f0ab,neutral,Individual,Low,0.01,kannada
"Waagwil, nee tumba irritating agthiya re dude. #a99a",insult,Individual,Medium,0.29,kannada
"Group nalli a tara joker thara baribeda, Ehwstfdx. #f458",insult,Individual,medium,0.72,bad_words
Why do you keep messaging me 😒,harassment,academic,medium,0.5,emoji
"To be honest, mind your own business and it's sad.",aggression,individual,medium,0.55,english
"Nsv, nee class nalli full time joker ne yaar. #6bc5",insult,Individual,Medium,0.22,kannada
"this section, why are you watching me silently",stalking,group,medium,0.62,english
Everyone knows dont cross the line nin limits alli iru,aggression,individual,medium,0.55,codemix
"Jsfawoi, nee yen use illa ninna jothe re. #8ecb",insult,Individual,High,0.36,kannada
naale extra pen togond baa pls. #ba0b,neutral,Individual,Low,0.02,kannada
You are really dumb 😡,insult,teacher,medium,0.3,emoji
naale 4gante canteen nalli meet aagona. #59eb,neutral,Group,Low,0.05,kannada
"Opuvxsngt, nee full joker thara tara behave madthiya. #fa2e",insult,Individual,low,0.6,bad_words
I will report you to the admin 🩸,threat,unknown,high,0.95,emoji
use your brain swalpa for real.,insult,individual,medium,0.3,codemix
stay in your limits please don't you think?,aggression,individual,medium,0.55,codemix
"Listen, you sound really stupid nin mathu nodi period.",insult,individual,medium,0.3,codemix
"Hey, this place feels unhealthy manasige sari illa",toxicity,individual,medium,0.5,codemix
You never understand anything 😶,insult,appearance,low,0.25,emoji
why do you remember my timings ninige ella gothu so please stop.,stalking,individual,medium,0.62,codemix
this chat is mentally draining and everyone agrees.,toxicity,group,high,0.55,english
This group is so toxic 💥,toxicity,gender,low,0.35,emoji
"Vdftwf, nee yen use illa ninna jothe yaar. #793f",insult,Individual,High,0.43,kannada
Stop following me everywhere 🔍,stalking,teacher,high,0.8,emoji
Everyone knows stay in your limits please,aggression,individual,medium,0.55,codemix
Good morning everyone. Thanks.,neutral,unknown,high,0.07,english
nee send madida reel super comedy aaytu. #268e,neutral,Unknown,Low,0.0,kannada
"Fymlk, nee yen use illa ninna jothe dude. #43bf",insult,Individual,High,0.27,kannada
"Yuf, nee tumba thotha maga tara idiya maga. #93a4",insult,Individual,medium,0.41,bad_words
"team, ivnanna group nalli add madbeda, ivan illaadre better ansta. #e6f3",exclusion,Group,Low,0.35,kannada
"Group nalli a tara cry baby maga baribeda, Cpuefxq. #e98d",harassment,Individual,medium,0.54,bad_words
stop getting involved,aggression,individual,medium,0.55,english
this environment is really bad and it's annoying.,toxicity,gender,medium,0.5,english
"grade, you dont belong in this level",insult,academic,medium,0.3,english
"People are tired of your bitch attitude, Uuuw. #8c54",insult,Individual,high,0.67,bad_words
this is not meant for you,exclusion,individual,medium,0.42,english
"girls, you are useless in group work",insult,gender,medium,0.3,english
"ninna presentation super aaytu, chennag ide. #96e8",neutral,Individual,Low,0.05,kannada
"Kubgwjiaz, elli hogidaroo ade tara madthiya, useless tara behave madthiya anta feel agutte. #95a8",harassment,Individual,Medium,0.46,kannada
"This bellend behaviour is not okay, Cjo. #5ad7",insult,Individual,high,0.44,bad_words
"Ytoft, nee yavattu serious agalla machaa. #bdff",insult,Individual,Low,0.3,kannada
"Yella dina nimmavvana tara mathadbeda, Npfrduds. #c8f6",harassment,Individual,low,0.57,bad_words
Can someone share the notes please 😄,neutral,gender,low,0.0,emoji
"Vkizius, ava body bagge a tara mata beda, group nalli idu sari alla. #8608",sexual_harassment,Individual,High,1.0,kannada
"mute, this chat ruins my mood",toxicity,group,medium,0.5,english
"Bljmntveol, elli hogidaroo ade tara madthiya, useless tara behave madthiya anta feel agutte. #8b4a",harassment,Individual,Medium,0.74,kannada
"Only a crap will spam the group like you, Ikmohia. #477e",harassment,Individual,medium,0.67,bad_words
Stop texting me again and again ☠️,harassment,group,high,0.65,emoji
I just wanted to say this will not end well for you,threat,individual,medium,0.82,english
why do you always show up where i am for sure.,stalking,individual,high,0.67,codemix
"naale 9 gante lab ge bartira, late agbeda. #00e2",neutral,Individual,Low,0.02,kannada
"Ninna monkey thara behavior nodi everyone frustrate agta idare, Imfmajbofx. #f804",insult,Individual,high,0.61,bad_words
"Pinafc, elli hogidaroo ade tara madthiya, complete waste fellow anta feel agutte. #86b5",harassment,Individual,High,0.47,kannada
"Bstmvbroit, nee reply nodoke tumba time togondiya dude. #725d",insult,Individual,Low,0.26,kannada
"Listen, this environment is stressful",toxicity,individual,medium,0.5,codemix
"People are tired of your bellend attitude, Wbo. #2a0b",insult,Individual,low,0.68,bad_words
"Actually, we dont want you nin beka illa and everyone agrees.",exclusion,individual,high,0.47,codemix
"reply, your kind spoils the environment",hate,gender,medium,0.75,english
"Xuxxg, yaaru kuda ninna sexy bro nature ishta padalla. #50e1",sexual_harassment,Individual,medium,0.64,bad_words
ivattu assignment submit maadbeku maga. #c85e,neutral,Group,Low,0.0,kannada
"Stop it, stop tracking my activity",stalking,individual,medium,0.62,english
Why are you always watching me 💥,stalking,appearance,high,0.8,emoji
exam tumba tough aaytu but somehow aaytu. #568c,neutral,Group,Low,0.01,kannada
"Stop it, this group is too negative (no offense).",toxicity,individual,low,0.45,codemix
"ninna presentation super aaytu, chennag ide. #cfdb",neutral,Group,Low,0.0,kannada
"Ilyxqhbx, nin keiya nataka nodakke bore aaytu. #04cf",harassment,Individual,low,0.6,bad_words
exam tumba tough aaytu but somehow aaytu. #3508,neutral,Unknown,Low,0.0,kannada
"Qpibcun, nee sakkat dumb idiya yaar machaa. #d2b7",insult,Individual,Medium,0.22,kannada
"Plqpaqtjhf, nee reply nodoke tumba time togondiya dude. #f0f7",insult,Individual,Low,0.12,kannada
"This son of bitch behaviour is not okay, Vyjn. #cec9",insult,Individual,medium,0.54,bad_words
Nobody wants you here 🕵️,exclusion,academic,medium,0.45,emoji
are you mad or what ninige artha illa !!!,insult,individual,medium,0.3,codemix
"ninna presentation super aaytu, chennag ide. #d827",neutral,Group,Low,0.02,kannada
there is too much negativity here immediately.,toxicity,individual,medium,0.5,english
why do you keep noticing when i am active for real.,stalking,individual,medium,0.62,english
"naale 9 gante lab ge bartira, late agbeda. #1cac",neutral,Unknown,Low,0.03,kannada
"Only a nigga will spam the group like you, Lqf. #2674",harassment,Individual,high,0.71,bad_words
It's obvious that you will face consequences for this,threat,appearance,medium,0.82,english
fest practice ge yar yar barthidira. #c666,neutral,Individual,Low,0.0,kannada
"Dvzsrvh, nee reply nodoke tumba time togondiya machaa. #8698",insult,Individual,Low,0.25,kannada
That was a stupid answer 🚪,insult,academic,low,0.25,emoji
"Awqn, nee full time late bartiya dude. #a952",insult,Individual,Low,0.37,kannada
Wait and see what happens to you 🌈,threat,individual,high,0.95,emoji
ivattu class full bore aaytu. #496f,neutral,Individual,Low,0.0,kannada
"Qoyk, elli hogidaroo ade tara madthiya, useless tara behave madthiya anta feel agutte. #b613",harassment,Individual,Medium,0.68,kannada
"Seriously, shut up now sumne iru",aggression,individual,medium,0.55,codemix
naale extra pen togond baa pls. #0316,neutral,Unknown,Low,0.0,kannada
shut up now sumne iru period.,aggression,individual,medium,0.55,codemix
nin iddare problem agthide,exclusion,individual,medium,0.42,codemix
pizza bekka biryani bekka decide maadi. #9323,neutral,Group,Low,0.03,kannada
"entire group, go away from here",aggression,group,medium,0.55,english
"This asshole behaviour is not okay, Fpijfez. #5350",insult,Individual,medium,0.53,bad_words
"Hbujp, nee yavattu serious agalla dude. #75b6",insult,Individual,Low,0.31,kannada
"ninna presentation super aaytu, chennag ide. #3735",neutral,Group,Low,0.0,kannada
"Uac, elli hogidaroo ade tara madthiya, complete waste fellow anta feel agutte. #06ad",harassment,Individual,Low,0.51,kannada
"This fag behaviour is not okay, Zwp. #193d",insult,Individual,low,0.41,bad_words
"Look, neenu full dumb yaake heege",insult,individual,medium,0.3,codemix
I just wanted to say nin iddare delay agthide,exclusion,individual,medium,0.42,codemix
"Listen, you mess up everything and it's sad.",insult,individual,medium,0.3,english
It's obvious that you just dont get it ninige artha illa (no offense).,insult,individual,low,0.25,codemix
"Stop it, better you leave this group immediately.",exclusion,group,medium,0.42,english
"To be honest, stop tracking my activity nanige gothagthide - just my opinion.",stalking,individual,medium,0.62,codemix
naale extra pen togond baa pls. #0e94,neutral,Individual,Low,0.0,kannada
weekend ge yava movie nodona. #122d,neutral,Group,Low,0.02,kannada
"Group nalli a tara le niga baribeda, Yeflwnxltb. #8377",harassment,Individual,medium,0.66,bad_words
"Pwljautb, nee tumba disgusting behaviour yaar. #d990",insult,Individual,High,0.51,kannada
"Basically, go away from here",aggression,individual,medium,0.55,english
"Fydol, prati dina reason illade ping madbedi, idu stalking tara kanstide. #695d",cyberstalking,Individual,High,0.86,kannada
"Jjcqujhn, nanna status na yavaglu check madthiya, idu stalking tara kanstide. #0ab4",cyberstalking,Individual,High,0.76,kannada
"Kkagf, a tara photos haakbeda please, group nalli idu sari alla. #a1c9",sexual_harassment,Individual,Low,0.65,kannada
pizza bekka biryani bekka decide maadi. #dc6b,neutral,Group,Low,0.0,kannada
"Group nalli a tara le niga baribeda, Bpl. #07b8",harassment,Individual,medium,0.6,bad_words
"Ivattu kooda sexy baby tara act madtidya, Iefd. #5016",sexual_harassment,Individual,high,0.58,bad_words
Your kind is not welcome here 📍,hate,academic,high,0.85,emoji
"This fucking prick behaviour is not okay, Rmwew. #bec7",sexual_harassment,Individual,medium,0.35,bad_words
we dont want you in this discussion !!!,exclusion,individual,medium,0.42,english
You keep tracking my activity 🐷,stalking,appearance,high,0.8,emoji
"Ninna die behavior nodi everyone frustrate agta idare, Rgdwwhkv. #37f7",threat,Individual,low,0.5,bad_words
"batch, ivnanna group nalli add madbeda, ivan illaadre better ansta. #2ab5",exclusion,Group,Low,0.22,kannada
"Urcg, elli hogidaroo ade tara madthiya, class nalli full time joker ne anta feel agutte. #c1a9",harassment,Individual,Medium,0.68,kannada
"Ozt, nee tumba irritating agthiya re dude. #af54",insult,Individual,Medium,0.43,kannada
"Oykcf, nee tumba bosodina tara idiya maga. #94f7",harassment,Individual,medium,0.43,bad_words
Everyone here is awful 🚪,toxicity,gender,low,0.35,emoji
naale extra pen togond baa pls. #d650,neutral,Unknown,Low,0.0,kannada
"Gxyedsu, nee total loser tara idiya yaar. #48cc",insult,Individual,High,0.31,kannada
"Honestly, ninige common sense illa",insult,individual,medium,0.3,codemix
fest practice ge yar yar barthidira. #fee6,neutral,Unknown,Low,0.05,kannada
"men, why are you so behind me",harassment,gender,medium,0.45,english
"People are tired of your fuck you attitude, Nfiawksayt. #6cb7",harassment,Individual,low,0.39,bad_words
nin message inda tension agthide don't you think?,harassment,individual,medium,0.45,codemix
"Ivattu kooda saayi tara act madtidya, Ocvje. #c177",threat,Individual,medium,0.62,bad_words
"batch, chat nalli ivnanna ide irboda anta ansta, ivan illaadre better ansta. #f499",exclusion,Group,Medium,0.32,kannada
"Nxrwwvgyq, nin baa, nan tunne nekku nataka nodakke bore aaytu. #4acf",harassment,Individual,medium,0.53,bad_words
this chat is exhausting,toxicity,group,medium,0.5,english
You will regret this 🤚,threat,teacher,high,0.95,emoji
"Lksblkyfom, nee full haavu bro neenu tara behave madthiya. #f922",harassment,Individual,low,0.35,bad_words
"Stop it, you will pay for what you did right now.",threat,individual,medium,0.82,codemix
"Stop it, you will pay for what you did",threat,individual,medium,0.82,english
Why are you always watching me 🚪,stalking,unknown,high,0.8,emoji
"team, plan ge ivananna invite madbeda besseru, ivan illaadre better ansta. #bef1",exclusion,Group,Low,0.35,kannada
"Group nalli ee sakath body attitude beda, Ajwgtwklkz. #bd39",harassment,Individual,medium,0.68,bad_words
"Yella dina sucide tara mathadbeda, Cmmsdevhxt. #856e",threat,Individual,low,0.65,bad_words
remember this moment ninige gothagutte - just my opinion.,threat,individual,medium,0.82,codemix
"Hey, Good morning everyone.",neutral,unknown,high,0.07,english
"submission, dont cross the line",aggression,academic,medium,0.55,english
"In my opinion, this group is not for you",exclusion,group,medium,0.42,english
It's obvious that dont follow up again please,harassment,individual,medium,0.45,english
"class grp, plan ge ivananna invite madbeda besseru, ivan illaadre better ansta. #158c",exclusion,Group,Medium,0.29,kannada
"Yzuawgaqq, you are such a bugger in this group. #af92",insult,Individual,high,0.67,bad_words
I just wanted to say this will not end well for you ninige sari illa agutte without a doubt.,threat,individual,medium,0.82,codemix
why are you messaging me again without a doubt.,harassment,individual,medium,0.45,english
naale 4gante canteen nalli meet aagona. #f36a,neutral,Unknown,Low,0.01,kannada
"Octbnxktia, nee sakkat dumb idiya yaar yaar. #ad3f",insult,Individual,Medium,0.43,kannada
ivattu class full bore aaytu. #f2db,neutral,Unknown,Low,0.01,kannada
"Bmk, elli hogidaroo ade tara madthiya, sakkat dumb idiya yaar anta feel agutte. #d112",harassment,Individual,High,0.62,kannada
"Look, this place feels suffocating",toxicity,appearance,medium,0.5,english
"Nvlfdlnwyk, you are such a bloddy hell in this group. #24fe",harassment,Individual,high,0.62,bad_words
exam tumba tough aaytu but somehow aaytu. #cf49,neutral,Individual,Low,0.03,kannada
"Wuym, nee yen use illa ninna jothe machaa. #dd09",insult,Individual,High,0.5,kannada
"To be honest, dont poke your nose",aggression,individual,medium,0.55,english
"Basically, leave me alone nanige disturb beda",harassment,individual,medium,0.45,codemix
"Ivattu kooda dove rani tara act madtidya, Mrrhtc. #5e9c",harassment,Individual,high,0.69,bad_words
this group is too negative and it's sad.,toxicity,group,medium,0.5,english
It's obvious that why do you follow everything i do and it's annoying.,stalking,individual,medium,0.62,codemix
ivattu class full bore aaytu. #35e1,neutral,Unknown,Low,0.03,kannada
exam tumba tough aaytu but somehow aaytu. #66aa,neutral,Individual,Low,0.02,kannada
"Qyfwsfxedm, nee ivattu full lazy mode alli idiya machaa. #3d0f",insult,Individual,Low,0.4,kannada
"In my opinion, we dont like people like you nin tara beda without a doubt.",hate,individual,medium,0.75,codemix
"Lrf, ivattu full monkey thara mode nalli idiya. #b565",insult,Individual,medium,0.47,bad_words
"Qxapeyotyb, elli hogidaroo ade tara madthiya, useless tara behave madthiya anta feel agutte. #2396",harassment,Individual,Low,0.67,kannada
"Look, we are tired of people like you",hate,appearance,medium,0.75,english
fest practice ge yar yar barthidira. #4d94,neutral,Individual,Low,0.05,kannada
You are really dumb 😶,insult,gender,medium,0.3,emoji
"batch, plan ge ivananna invite madbeda besseru, ivan illaadre better ansta. #e60e",exclusion,Group,Low,0.38,kannada
"Xko, a type jokes swalpa stop maadu, group nalli idu sari alla. #0ec6",sexual_harassment,Individual,Medium,0.78,kannada
"Isgzdy, nee ivattu full lazy mode alli idiya dude. #906c",insult,Individual,Low,0.15,kannada
"Dqxcwhmz, elli hogidaroo ade tara madthiya, complete waste fellow anta feel agutte. #1271",harassment,Individual,Low,0.57,kannada
"Hey, this place feels unhealthy manasige sari illa - just my opinion.",toxicity,individual,medium,0.5,codemix
you will face consequences for this period.,threat,appearance,medium,0.82,english
this place feels suffocating and it's annoying.,toxicity,individual,medium,0.5,english
"class grp, ivnanna group nalli add madbeda, ivan illaadre better ansta. #bfd7",exclusion,Group,Low,0.36,kannada
"Listen, ninige maturity illa grow up !!!",insult,individual,medium,0.3,codemix
Everyone knows yaake nanna follow madthiya everywhere,harassment,individual,medium,0.45,codemix
"network sakkath slow ide, once repeat maadu. #cbf8",neutral,Individual,Low,0.01,kannada
"Group nalli a tara huccha baribeda, Bwhw. #b6b3",insult,Individual,medium,0.61,bad_words
"Tdzezzc, nodu careful iru, illa problem agutte, swalpa limit nodu yaar. #e686",threat,Individual,High,0.88,kannada
nin illade nav decide madidvi without a doubt.,exclusion,individual,medium,0.42,codemix
"team, ivananna group inda remove maadona, ivan illaadre better ansta. #f88d",exclusion,Group,Medium,0.32,kannada
weekend ge yava movie nodona. #a279,neutral,Group,Low,0.0,kannada
pizza bekka biryani bekka decide maadi. #562d,neutral,Group,Low,0.02,kannada
"People are tired of your transgender attitude, Woboaoiuqe. #f2d7",insult,Individual,medium,0.51,bad_words
nee send madida reel super comedy aaytu. #201a,neutral,Group,Low,0.0,kannada
Everyone knows why do you keep observing me and everyone agrees.,stalking,individual,high,0.67,english
"Eoypw, ava body bagge a tara mata beda, group nalli idu sari alla. #d372",sexual_harassment,Individual,High,0.69,kannada
yavdru ivattu notes idre send maadu pls. #e971,neutral,Group,Low,0.05,kannada
Leave me alone already ❄️,harassment,appearance,high,0.6,emoji
this group makes me uncomfortable don't you think?,toxicity,group,medium,0.5,english
"Pbrdfx, stop acting like a total bugger every day. #ce56",insult,Individual,medium,0.74,bad_words
"Yzngci, nee full time late bartiya re. #a202",insult,Individual,Low,0.38,kannada
"Zvbtwp, stop acting like a total ohh,piss off every day. #8b49",harassment,Individual,high,0.59,bad_words
That was a stupid answer 😑,insult,academic,low,0.25,emoji
"Meia, you are such a lick in this group. #c1a4",sexual_harassment,Individual,medium,0.44,bad_words
I just wanted to say you asked for it nin mistake (no offense).,threat,individual,low,0.77,codemix
no need for you here immediately.,exclusion,individual,medium,0.42,english
"happy birthday, tumba olle varsha agli. #47e3",neutral,Individual,Low,0.0,kannada
"Listen, dont think this will go unnoticed",threat,individual,medium,0.82,codemix
"5 nimisha nalli join agthini, swalpa wait maadu. #70fd",neutral,Unknown,Low,0.03,kannada
"ninna presentation super aaytu, chennag ide. #6142",neutral,Individual,Low,0.02,kannada
"Hdm, stop acting like a total bugger every day. #961b",insult,Individual,medium,0.43,bad_words
"Ejgyh, nee full not a loyal tara behave madthiya. #dc10",harassment,Individual,medium,0.35,bad_words
people here spread negativity and everyone agrees.,toxicity,group,high,0.55,english
"Hey, there is too much negativity here for real.",toxicity,individual,medium,0.5,codemix
people here are very problematic without a doubt.,toxicity,individual,medium,0.5,codemix
"Kbtsquru, you are such a dirty fellow in this group. #95e8",insult,Individual,low,0.42,bad_words
"Group nalli ee sexy baby attitude beda, Dvuxxsm. #ca19",sexual_harassment,Individual,medium,0.74,bad_words
"Admwfnek, nee tumba disgusting behaviour yaar. #2967",insult,Individual,High,0.32,kannada
you wont get away with this period.,threat,individual,medium,0.82,codemix
"Only a jerk will spam the group like you, Hnuy. #53d3",insult,Individual,medium,0.53,bad_words
"This asexual behaviour is not okay, Dqgjvw. #f774",sexual_harassment,Individual,low,0.37,bad_words
ivattu class full bore aaytu. #4ab3,neutral,Unknown,Low,0.02,kannada
"Yrkvfntk, stop acting like a total suck his dick every day. #440d",sexual_harassment,Individual,medium,0.5,bad_words
"notes, your type should not be here",hate,academic,medium,0.75,english
"Basically, nin illade nav decide madidvi ... whatever.",exclusion,individual,medium,0.42,codemix
"Honestly, people like you yavaglu problem",hate,individual,medium,0.75,codemix
why are you always checking my status !!!,stalking,social,high,0.67,english
why are you checking my last seen ... whatever.,stalking,social,medium,0.62,english
"happy birthday, tumba olle varsha agli. #9e39",neutral,Group,Low,0.0,kannada
"Stop it, we are tired of people like you for real.",hate,individual,medium,0.75,codemix
this group is full of drama without a doubt.,toxicity,individual,medium,0.5,codemix
"Fdtak, ava body bagge a tara mata beda, group nalli idu sari alla. #5bb3",sexual_harassment,Individual,Medium,0.93,kannada
ivattu assignment submit maadbeku maga. #834e,neutral,Individual,Low,0.0,kannada
"In my opinion, we dont like people like you for real.",hate,individual,medium,0.75,english
"Wijiczpj, ivattu full nimavvan mode nalli idiya. #2496",harassment,Individual,high,0.56,bad_words
"Cook, nee class nalli full time joker ne re. #553b",insult,Individual,Medium,0.37,kannada
ivattu class full bore aaytu. #9be1,neutral,Unknown,Low,0.0,kannada
this chat ruins my mood for sure.,toxicity,group,medium,0.5,english
"Ninna saayi behavior nodi everyone frustrate agta idare, Eynaheere. #eb14",threat,Individual,low,0.38,bad_words
"Csduv, elli hogidaroo ade tara madthiya, tumba irritating agthiya re anta feel agutte. #cdda",harassment,Individual,Low,0.63,kannada
"Kszen, nin bosodina nataka nodakke bore aaytu. #d493",harassment,Individual,high,0.79,bad_words
Back off now 🤨,aggression,academic,medium,0.6,emoji
"Xhhnrszza, you are such a damn in this group. #c88f",insult,Individual,low,0.44,bad_words
dont cross the line - just my opinion.,aggression,individual,medium,0.55,english
You never understand anything ❄️,insult,unknown,low,0.25,emoji
just wait and watch ninige lesson sigutte so please stop.,threat,individual,medium,0.82,codemix
yavdru ivattu notes idre send maadu pls. #ea7a,neutral,Unknown,Low,0.02,kannada
Shut up already 💣,aggression,academic,low,0.6,emoji
"5 nimisha nalli join agthini, swalpa wait maadu. #25cd",neutral,Unknown,Low,0.0,kannada
ivattu assignment submit maadbeku maga. #1df4,neutral,Unknown,Low,0.0,kannada
"Ozxrnxeta, elli hogidaroo ade tara madthiya, useless tara behave madthiya anta feel agutte. #ede2",harassment,Individual,Medium,0.54,kannada
"happy birthday, tumba olle varsha agli. #6585",neutral,Individual,Low,0.02,kannada
you are not invited nin beka illa - just my opinion.,exclusion,individual,medium,0.42,codemix
you sound really stupid nin mathu nodi and everyone agrees.,insult,individual,high,0.35,codemix
You will regret this 👎,threat,unknown,high,0.95,emoji
"In my opinion, you are in serious trouble - just my opinion.",threat,individual,medium,0.82,english
"Akipvht, elli hogidaroo ade tara madthiya, tumba irritating agthiya re anta feel agutte. #6e83",harassment,Individual,Medium,0.42,kannada
"Ninna cry baby behavior nodi everyone frustrate agta idare, Gswhploif. #a615",harassment,Individual,low,0.72,bad_words
"This bloody hell behaviour is not okay, Omq. #a857",harassment,Individual,medium,0.46,bad_words
"People are tired of your hell attitude, Wyy. #e931",harassment,Individual,low,0.4,bad_words
"Jmnnkexs, nin kall magane nataka nodakke bore aaytu. #c6f9",insult,Individual,low,0.57,bad_words
pizza bekka biryani bekka decide maadi. #0ef7,neutral,Group,Low,0.01,kannada
yaaru naalege PPT madthare helri. #5833,neutral,Unknown,Low,0.0,kannada
"Honestly, stop messaging me yavaglu disturb madthiya and it's sad.",harassment,individual,medium,0.45,codemix
Why do you keep messaging me 🐘,harassment,individual,medium,0.5,emoji
"Ppzbnnpew, nanna status na yavaglu check madthiya, idu stalking tara kanstide. #c41f",cyberstalking,Individual,Medium,0.63,kannada
You will regret this ❌,threat,gender,high,0.95,emoji
"Gcasvlc, next time barbeku anta helthini, swalpa limit nodu yaar. #d09b",threat,Individual,High,0.93,kannada
I think this place feels unhealthy manasige sari illa,toxicity,individual,medium,0.5,codemix
