message,label,target_type,severity,severity_score,explanation
You are really dumb 🐋,insult,appearance,medium,0.3,Direct rude or demeaning comment
You are really dumb 😑,insult,academic,low,0.25,Direct rude or demeaning comment
Why are you always watching me 🌑,stalking,gender,high,0.8,Monitoring or following behaviour
I will report you to the admin 🕵️,threat,teacher,high,0.95,Warning of harm or consequences
Leave this group now 🔴,exclusion,unknown,high,0.55,Trying to isolate someone
Leave me alone already ❌,harassment,academic,medium,0.5,Repeated or unwanted contact
Back off now 🦍,aggression,individual,low,0.55,Hostile or forceful language
Everyone here is awful 🚨,toxicity,unknown,low,0.35,Generally negative and abusive tone
Stop texting me again and again 🤚,harassment,individual,medium,0.5,Repeated or unwanted contact
Your kind is not welcome here 👿,hate,teacher,high,0.85,Attacking a group or identity
Did anyone finish the assignment? 📝,neutral,teacher,low,0.0,Normal conversational message
You will regret this 😈,threat,appearance,high,0.95,Warning of harm or consequences
Your kind is not welcome here 📸,hate,gender,high,0.85,Attacking a group or identity
Wait and see what happens to you 🤬,threat,academic,high,0.95,Warning of harm or consequences
You are really dumb 🕷️,insult,teacher,medium,0.3,Direct rude or demeaning comment
I will report you to the admin 🎥,threat,appearance,high,0.95,Warning of harm or consequences
Let's meet after class 😄,neutral,gender,low,0.0,Normal conversational message
This group is so toxic 🔪,toxicity,appearance,medium,0.45,Generally negative and abusive tone
Nobody wants you here 🕵️,exclusion,academic,medium,0.45,Trying to isolate someone
I will report you to the admin 🔍,threat,teacher,high,0.95,Warning of harm or consequences
This group is so toxic 🦠,toxicity,group,medium,0.4,Generally negative and abusive tone
Leave me alone already 🐘,harassment,gender,medium,0.5,Repeated or unwanted contact
Wait and see what happens to you 👎,threat,unknown,high,0.95,Warning of harm or consequences
Why are you always watching me 💣,stalking,individual,high,0.85,Monitoring or following behaviour
You never understand anything 😶,insult,appearance,low,0.25,Direct rude or demeaning comment
Back off now 😒,aggression,gender,low,0.55,Hostile or forceful language
Stop texting me again and again ❌,harassment,academic,high,0.6,Repeated or unwanted contact
You keep tracking my activity 🤬,stalking,individual,high,0.8,Monitoring or following behaviour
Stop following me everywhere 🦛,stalking,gender,high,0.8,Monitoring or following behaviour
People like you are disgusting 🚪,hate,academic,high,0.85,Attacking a group or identity
Stop following me everywhere 🎥,stalking,teacher,high,0.8,Monitoring or following behaviour
You never understand anything 🙄,insult,unknown,low,0.25,Direct rude or demeaning comment
Everyone here is awful 🕵️,toxicity,group,low,0.35,Generally negative and abusive tone
Shut up already 👿,aggression,appearance,medium,0.6,Hostile or forceful language
Get lost 🪳,aggression,appearance,low,0.55,Hostile or forceful language
I will report you to the admin 😞,threat,unknown,high,0.95,Warning of harm or consequences
Wait and see what happens to you 🩸,threat,group,high,0.95,Warning of harm or consequences
People like you are disgusting 🦛,hate,unknown,high,0.85,Attacking a group or identity
People like you are disgusting 💥,hate,individual,high,0.85,Attacking a group or identity
This group is so toxic 💣,toxicity,teacher,low,0.4,Generally negative and abusive tone
You never understand anything 📍,insult,teacher,low,0.25,Direct rude or demeaning comment
Stop following me everywhere 💔,stalking,unknown,high,0.8,Monitoring or following behaviour
This group is so toxic 🥶,toxicity,academic,medium,0.4,Generally negative and abusive tone
Nobody wants you here 🤨,exclusion,individual,medium,0.45,Trying to isolate someone
I will report you to the admin 🤚,threat,gender,high,0.95,Warning of harm or consequences
You will regret this 📍,threat,unknown,high,0.95,Warning of harm or consequences
People like you are disgusting 👿,hate,unknown,high,0.85,Attacking a group or identity
Leave this group now 🩸,exclusion,unknown,high,0.55,Trying to isolate someone
People like you are disgusting 🗡️,hate,group,high,0.85,Attacking a group or identity
Get lost 😐,aggression,group,medium,0.6,Hostile or forceful language
Did anyone finish the assignment? 😊,neutral,appearance,low,0.0,Normal conversational message
Leave this group now 🦍,exclusion,academic,medium,0.45,Trying to isolate someone
This group is so toxic 🪳,toxicity,gender,medium,0.4,Generally negative and abusive tone
I will report you to the admin ☠️,threat,unknown,high,1.0,Warning of harm or consequences
Your kind is not welcome here 🤬,hate,group,high,0.85,Attacking a group or identity
You are not part of this team ❌,exclusion,gender,medium,0.45,Trying to isolate someone
Good morning everyone ☀️,neutral,unknown,low,0.0,Normal conversational message
You will regret this 😶,threat,individual,high,0.95,Warning of harm or consequences
You keep tracking my activity 🐖,stalking,academic,high,0.8,Monitoring or following behaviour
This group is so toxic 🚫,toxicity,gender,low,0.35,Generally negative and abusive tone
Back off now 🐘,aggression,individual,medium,0.6,Hostile or forceful language
Can someone share the notes please 📚,neutral,appearance,low,0.0,Normal conversational message
Everyone here is awful 🤣,toxicity,academic,medium,0.4,Generally negative and abusive tone
You are not part of this team 🕷️,exclusion,group,medium,0.45,Trying to isolate someone
Everyone here is awful 🐘,toxicity,appearance,medium,0.4,Generally negative and abusive tone
This group is so toxic 😏,toxicity,teacher,medium,0.4,Generally negative and abusive tone
Why are you always watching me 💥,stalking,appearance,high,0.8,Monitoring or following behaviour
You are really dumb 🚫,insult,group,low,0.25,Direct rude or demeaning comment
You will regret this 😐,threat,group,high,0.95,Warning of harm or consequences
You are really dumb 📍,insult,academic,medium,0.3,Direct rude or demeaning comment
You are really dumb 🤢,insult,academic,medium,0.3,Direct rude or demeaning comment
Wait and see what happens to you 🐮,threat,appearance,high,0.95,Warning of harm or consequences
Back off now 🙅,aggression,individual,low,0.55,Hostile or forceful language
Leave me alone already 🎥,harassment,appearance,high,0.6,Repeated or unwanted contact
Everyone here is awful 👀,toxicity,gender,medium,0.4,Generally negative and abusive tone
Why are you always watching me 😒,stalking,appearance,high,0.8,Monitoring or following behaviour
Why are you always watching me ⛔,stalking,teacher,high,0.8,Monitoring or following behaviour
You keep tracking my activity 🪰,stalking,group,high,0.8,Monitoring or following behaviour
Leave this group now 🖕,exclusion,appearance,high,0.6,Trying to isolate someone
Wait and see what happens to you 🔪,threat,academic,high,1.0,Warning of harm or consequences
People like you are disgusting 🤡,hate,academic,high,0.85,Attacking a group or identity
Can someone share the notes please 😊,neutral,teacher,low,0.0,Normal conversational message
This group is so toxic 💩,toxicity,gender,medium,0.4,Generally negative and abusive tone
That was a stupid answer ☠️,insult,appearance,medium,0.35,Direct rude or demeaning comment
Why do you keep messaging me 😑,harassment,appearance,medium,0.5,Repeated or unwanted contact
You will regret this 🙄,threat,unknown,high,0.95,Warning of harm or consequences
You will regret this 👀,threat,group,high,0.95,Warning of harm or consequences
You are really dumb ☠️,insult,group,low,0.3,Direct rude or demeaning comment
Nobody wants you here 🚨,exclusion,academic,medium,0.45,Trying to isolate someone
Wait and see what happens to you 👿,threat,unknown,high,0.95,Warning of harm or consequences
You are not part of this team 😑,exclusion,appearance,medium,0.45,Trying to isolate someone
Can someone share the notes please ☀️,neutral,academic,low,0.0,Normal conversational message
You are not part of this team 📛,exclusion,unknown,medium,0.45,Trying to isolate someone
Why do you keep messaging me 🔴,harassment,academic,high,0.6,Repeated or unwanted contact
You keep tracking my activity 🤨,stalking,group,high,0.8,Monitoring or following behaviour
Everyone here is awful 💀,toxicity,academic,medium,0.45,Generally negative and abusive tone
Stop texting me again and again 📸,harassment,academic,medium,0.5,Repeated or unwanted contact
People like you are disgusting 🐖,hate,gender,high,0.85,Attacking a group or identity
You are not part of this team ⚠️,exclusion,gender,medium,0.45,Trying to isolate someone
Wait and see what happens to you ⛔,threat,appearance,high,0.95,Warning of harm or consequences
This group is so toxic ⛔,toxicity,teacher,low,0.35,Generally negative and abusive tone
Stop following me everywhere 🔍,stalking,teacher,high,0.8,Monitoring or following behaviour
You are really dumb 🦛,insult,individual,medium,0.3,Direct rude or demeaning comment
Wait and see what happens to you 🤡,threat,group,high,0.95,Warning of harm or consequences
Shut up already 🫥,aggression,unknown,medium,0.6,Hostile or forceful language
Shut up already 🦍,aggression,group,low,0.55,Hostile or forceful language
People like you are disgusting 🐋,hate,unknown,high,0.85,Attacking a group or identity
You will regret this 🐮,threat,gender,high,0.95,Warning of harm or consequences
Back off now 🤣,aggression,unknown,medium,0.6,Hostile or forceful language
Stop following me everywhere 🩸,stalking,appearance,high,0.8,Monitoring or following behaviour
Nice explanation today 🙂,neutral,gender,low,0.0,Normal conversational message
Your kind is not welcome here 😏,hate,gender,high,0.85,Attacking a group or identity
This group is so toxic 💔,toxicity,unknown,medium,0.4,Generally negative and abusive tone
Shut up already 🐮,aggression,gender,low,0.55,Hostile or forceful language
Shut up already 🪳,aggression,teacher,low,0.55,Hostile or forceful language
People like you are disgusting 🕵️,hate,appearance,high,0.85,Attacking a group or identity
People like you are disgusting 🦧,hate,teacher,high,0.85,Attacking a group or identity
Your kind is not welcome here 😹,hate,academic,high,0.85,Attacking a group or identity
Get lost 🦛,aggression,individual,low,0.55,Hostile or forceful language
You will regret this 🪳,threat,individual,high,0.95,Warning of harm or consequences
Get lost 😶,aggression,appearance,low,0.55,Hostile or forceful language
Get lost 🧊,aggression,individual,low,0.55,Hostile or forceful language
Wait and see what happens to you 😒,threat,appearance,high,0.95,Warning of harm or consequences
Why are you always watching me ☠️,stalking,individual,high,0.85,Monitoring or following behaviour
You are not part of this team 🐮,exclusion,gender,high,0.55,Trying to isolate someone
People like you are disgusting 😬,hate,gender,high,0.85,Attacking a group or identity
This group is so toxic 🤢,toxicity,appearance,low,0.35,Generally negative and abusive tone
You never understand anything 🌑,insult,individual,medium,0.3,Direct rude or demeaning comment
Leave this group now 😂,exclusion,teacher,high,0.55,Trying to isolate someone
Leave me alone already 😶,harassment,appearance,high,0.6,Repeated or unwanted contact
Back off now ❌,aggression,academic,low,0.55,Hostile or forceful language
You keep tracking my activity 🤮,stalking,individual,high,0.8,Monitoring or following behaviour
Stop following me everywhere 😑,stalking,gender,high,0.8,Monitoring or following behaviour
Back off now ⚠️,aggression,gender,medium,0.6,Hostile or forceful language
You keep tracking my activity 🩸,stalking,individual,high,0.8,Monitoring or following behaviour
Wait and see what happens to you ⚠️,threat,unknown,high,0.95,Warning of harm or consequences
Why are you always watching me 🐖,stalking,teacher,high,0.8,Monitoring or following behaviour
Stop following me everywhere 🤨,stalking,group,high,0.8,Monitoring or following behaviour
I will report you to the admin 😑,threat,academic,high,0.95,Warning of harm or consequences
Why are you always watching me 🐘,stalking,teacher,high,0.8,Monitoring or following behaviour
You are really dumb 😈,insult,individual,low,0.25,Direct rude or demeaning comment
Leave me alone already 😏,harassment,appearance,medium,0.5,Repeated or unwanted contact
Why do you keep messaging me 😹,harassment,appearance,high,0.6,Repeated or unwanted contact
Leave me alone already ❄️,harassment,appearance,high,0.6,Repeated or unwanted contact
Leave this group now 🐋,exclusion,academic,medium,0.45,Trying to isolate someone
You keep tracking my activity 🔪,stalking,unknown,high,0.85,Monitoring or following behaviour
You are not part of this team 💔,exclusion,gender,high,0.55,Trying to isolate someone
Wait and see what happens to you 🪰,threat,appearance,high,0.95,Warning of harm or consequences
Stop texting me again and again 📍,harassment,individual,high,0.6,Repeated or unwanted contact
Wait and see what happens to you 🤚,threat,unknown,high,0.95,Warning of harm or consequences
Your kind is not welcome here 🕸️,hate,academic,high,0.85,Attacking a group or identity
Shut up already 😹,aggression,gender,low,0.55,Hostile or forceful language
Stop texting me again and again 🩸,harassment,teacher,high,0.6,Repeated or unwanted contact
You are not part of this team 🤨,exclusion,gender,high,0.55,Trying to isolate someone
Nice explanation today ✨,neutral,individual,low,0.0,Normal conversational message
Nobody wants you here 👎,exclusion,gender,high,0.55,Trying to isolate someone
You keep tracking my activity 🕵️,stalking,gender,high,0.8,Monitoring or following behaviour
Stop following me everywhere 🐖,stalking,teacher,high,0.8,Monitoring or following behaviour
Wait and see what happens to you 🫥,threat,teacher,high,0.95,Warning of harm or consequences
Your kind is not welcome here 🔥,hate,individual,high,0.85,Attacking a group or identity
You are really dumb 🌑,insult,unknown,medium,0.3,Direct rude or demeaning comment
Back off now 🌈,aggression,appearance,low,0.55,Hostile or forceful language
Why do you keep messaging me 🤨,harassment,academic,high,0.6,Repeated or unwanted contact
Leave this group now 🌈,exclusion,group,medium,0.45,Trying to isolate someone
Leave this group now 🤬,exclusion,academic,medium,0.45,Trying to isolate someone
Leave me alone already 🐖,harassment,academic,high,0.6,Repeated or unwanted contact
Why are you always watching me 🦠,stalking,unknown,high,0.8,Monitoring or following behaviour
I will report you to the admin 🦛,threat,unknown,high,0.95,Warning of harm or consequences
This group is so toxic 🚨,toxicity,individual,low,0.35,Generally negative and abusive tone
Stop texting me again and again 🔍,harassment,unknown,high,0.6,Repeated or unwanted contact
Wait and see what happens to you 🧊,threat,academic,high,0.95,Warning of harm or consequences
Get lost 😞,aggression,academic,low,0.55,Hostile or forceful language
Get lost 😂,aggression,appearance,low,0.55,Hostile or forceful language
Leave this group now 🙄,exclusion,teacher,medium,0.45,Trying to isolate someone
Stop texting me again and again 🕷️,harassment,individual,medium,0.5,Repeated or unwanted contact
Get lost 💩,aggression,academic,medium,0.6,Hostile or forceful language
Nobody wants you here 🔥,exclusion,individual,medium,0.45,Trying to isolate someone
You never understand anything ❌,insult,individual,low,0.25,Direct rude or demeaning comment
Your kind is not welcome here ⚠️,hate,individual,high,0.85,Attacking a group or identity
Leave this group now 🐮,exclusion,gender,medium,0.45,Trying to isolate someone
Shut up already 📸,aggression,group,medium,0.6,Hostile or forceful language
You are really dumb 🕸️,insult,unknown,medium,0.3,Direct rude or demeaning comment
Leave me alone already ⚠️,harassment,gender,medium,0.5,Repeated or unwanted contact
Everyone here is awful 😑,toxicity,gender,medium,0.4,Generally negative and abusive tone
You never understand anything 💩,insult,individual,medium,0.3,Direct rude or demeaning comment
Leave this group now 💀,exclusion,academic,medium,0.5,Trying to isolate someone
You keep tracking my activity 🚨,stalking,individual,high,0.8,Monitoring or following behaviour
People like you are disgusting 🛑,hate,gender,high,0.85,Attacking a group or identity
You never understand anything 🧊,insult,academic,low,0.25,Direct rude or demeaning comment
Why do you keep messaging me 🐘,harassment,individual,medium,0.5,Repeated or unwanted contact
Get lost 🗡️,aggression,unknown,medium,0.6,Hostile or forceful language
You are really dumb 🐷,insult,gender,low,0.25,Direct rude or demeaning comment
Back off now ⚡,aggression,group,low,0.55,Hostile or forceful language
That was a stupid answer 🦧,insult,unknown,low,0.25,Direct rude or demeaning comment
You are really dumb 🙅,insult,teacher,medium,0.3,Direct rude or demeaning comment
Why are you always watching me 🕸️,stalking,group,high,0.8,Monitoring or following behaviour
Stop texting me again and again 🦧,harassment,academic,high,0.6,Repeated or unwanted contact
Why do you keep messaging me 🕵️,harassment,unknown,medium,0.5,Repeated or unwanted contact
You keep tracking my activity 🫥,stalking,group,high,0.8,Monitoring or following behaviour
Back off now 🤢,aggression,teacher,low,0.55,Hostile or forceful language
Get lost 🐮,aggression,group,low,0.55,Hostile or forceful language
Shut up already 💣,aggression,academic,low,0.6,Hostile or forceful language
Back off now 🧨,aggression,individual,low,0.6,Hostile or forceful language
Why are you always watching me 🧨,stalking,teacher,high,0.85,Monitoring or following behaviour
Why do you keep messaging me 🥶,harassment,group,high,0.6,Repeated or unwanted contact
Why are you always watching me 🥶,stalking,academic,high,0.8,Monitoring or following behaviour
Wait and see what happens to you 🛑,threat,teacher,high,0.95,Warning of harm or consequences
I will report you to the admin 🚫,threat,individual,high,0.95,Warning of harm or consequences
Get lost 🚪,aggression,group,medium,0.6,Hostile or forceful language
I will report you to the admin 🦍,threat,unknown,high,0.95,Warning of harm or consequences
Leave me alone already 🕷️,harassment,unknown,medium,0.5,Repeated or unwanted contact
You will regret this 🤣,threat,gender,high,0.95,Warning of harm or consequences
Wait and see what happens to you 🐖,threat,appearance,high,0.95,Warning of harm or consequences
Nobody wants you here 🥶,exclusion,unknown,medium,0.45,Trying to isolate someone
Get lost ⛔,aggression,unknown,medium,0.6,Hostile or forceful language
Stop following me everywhere ⚡,stalking,teacher,high,0.8,Monitoring or following behaviour
I will report you to the admin 🛑,threat,teacher,high,0.95,Warning of harm or consequences
Everyone here is awful 😒,toxicity,individual,low,0.35,Generally negative and abusive tone
This group is so toxic 😞,toxicity,academic,medium,0.4,Generally negative and abusive tone
Leave this group now 🕸️,exclusion,group,high,0.55,Trying to isolate someone
Stop following me everywhere 🧊,stalking,academic,high,0.8,Monitoring or following behaviour
Stop following me everywhere 🌑,stalking,unknown,high,0.8,Monitoring or following behaviour
Nobody wants you here 🦠,exclusion,group,high,0.55,Trying to isolate someone
Leave me alone already 🩸,harassment,teacher,medium,0.5,Repeated or unwanted contact
Shut up already 🥶,aggression,teacher,low,0.55,Hostile or forceful language
Leave this group now 😬,exclusion,unknown,medium,0.45,Trying to isolate someone
Get lost 🧨,aggression,academic,medium,0.65,Hostile or forceful language
Wait and see what happens to you 🌑,threat,group,high,0.95,Warning of harm or consequences
You never understand anything 📸,insult,group,medium,0.3,Direct rude or demeaning comment
You keep tracking my activity 😈,stalking,individual,high,0.8,Monitoring or following behaviour
Your kind is not welcome here ⛔,hate,unknown,high,0.85,Attacking a group or identity
Everyone here is awful 🗡️,toxicity,appearance,medium,0.4,Generally negative and abusive tone
Why do you keep messaging me 🦛,harassment,unknown,high,0.6,Repeated or unwanted contact
Shut up already 😏,aggression,gender,low,0.55,Hostile or forceful language
Back off now 🤚,aggression,unknown,medium,0.6,Hostile or forceful language
Nobody wants you here 💀,exclusion,group,high,0.6,Trying to isolate someone
Back off now ⛔,aggression,teacher,low,0.55,Hostile or forceful language
This group is so toxic 😈,toxicity,group,low,0.35,Generally negative and abusive tone
Why are you always watching me 🤬,stalking,group,high,0.8,Monitoring or following behaviour
Your kind is not welcome here 🦍,hate,individual,high,0.85,Attacking a group or identity
You are really dumb 😠,insult,gender,medium,0.3,Direct rude or demeaning comment
Leave me alone already 🤡,harassment,teacher,medium,0.5,Repeated or unwanted contact
You will regret this 🌈,threat,gender,high,0.95,Warning of harm or consequences
Leave me alone already 🔴,harassment,individual,medium,0.5,Repeated or unwanted contact
I will report you to the admin 🦧,threat,unknown,high,0.95,Warning of harm or consequences
You keep tracking my activity 🦛,stalking,gender,high,0.8,Monitoring or following behaviour
This group is so toxic 😶,toxicity,unknown,medium,0.4,Generally negative and abusive tone
Shut up already 📍,aggression,teacher,medium,0.6,Hostile or forceful language
You are not part of this team 🧊,exclusion,group,high,0.55,Trying to isolate someone
Good morning everyone 😊,neutral,unknown,low,0.0,Normal conversational message
You are really dumb 👿,insult,unknown,medium,0.3,Direct rude or demeaning comment
Back off now 🦠,aggression,appearance,medium,0.6,Hostile or forceful language
This group is so toxic 🔥,toxicity,gender,low,0.35,Generally negative and abusive tone
You are not part of this team 🦧,exclusion,gender,high,0.55,Trying to isolate someone
Back off now 🕷️,aggression,academic,medium,0.6,Hostile or forceful language
Stop following me everywhere 💥,stalking,gender,high,0.8,Monitoring or following behaviour
Everyone here is awful 🔥,toxicity,gender,medium,0.4,Generally negative and abusive tone
Everyone here is awful 🙄,toxicity,individual,medium,0.4,Generally negative and abusive tone
Your kind is not welcome here 💥,hate,unknown,high,0.85,Attacking a group or identity
Everyone here is awful 🦧,toxicity,appearance,medium,0.4,Generally negative and abusive tone
You never understand anything 🤮,insult,teacher,medium,0.3,Direct rude or demeaning comment
Wait and see what happens to you 🖕,threat,academic,high,1.0,Warning of harm or consequences
You never understand anything 🚨,insult,teacher,low,0.25,Direct rude or demeaning comment
Your kind is not welcome here 🐋,hate,gender,high,0.85,Attacking a group or identity
This group is so toxic 😠,toxicity,academic,low,0.35,Generally negative and abusive tone
Nobody wants you here 🔍,exclusion,teacher,medium,0.45,Trying to isolate someone
People like you are disgusting 👎,hate,individual,high,0.85,Attacking a group or identity
Stop following me everywhere 📍,stalking,unknown,high,0.8,Monitoring or following behaviour
Your kind is not welcome here 💀,hate,gender,high,0.9,Attacking a group or identity
Your kind is not welcome here 🤨,hate,individual,high,0.85,Attacking a group or identity
I will report you to the admin 🤢,threat,unknown,high,0.95,Warning of harm or consequences
Stop texting me again and again 😂,harassment,unknown,high,0.6,Repeated or unwanted contact
Get lost 🔍,aggression,unknown,medium,0.6,Hostile or forceful language
You keep tracking my activity 🌈,stalking,individual,high,0.8,Monitoring or following behaviour
Why do you keep messaging me 👿,harassment,academic,medium,0.5,Repeated or unwanted contact
Your kind is not welcome here ❄️,hate,gender,high,0.85,Attacking a group or identity
Nobody wants you here 🌈,exclusion,gender,high,0.55,Trying to isolate someone
You will regret this 💔,threat,group,high,0.95,Warning of harm or consequences
Your kind is not welcome here 🐖,hate,individual,high,0.85,Attacking a group or identity
Why are you always watching me ❌,stalking,individual,high,0.8,Monitoring or following behaviour
You are not part of this team 😶,exclusion,gender,medium,0.45,Trying to isolate someone
People like you are disgusting 🤮,hate,unknown,high,0.85,Attacking a group or identity
Nobody wants you here ❄️,exclusion,group,high,0.55,Trying to isolate someone
Shut up already 🤬,aggression,gender,low,0.55,Hostile or forceful language
Get lost ⚡,aggression,individual,medium,0.6,Hostile or forceful language
Leave me alone already ⚡,harassment,appearance,medium,0.5,Repeated or unwanted contact
Nobody wants you here 🫥,exclusion,gender,high,0.55,Trying to isolate someone
Stop texting me again and again 😒,harassment,academic,high,0.6,Repeated or unwanted contact
Your kind is not welcome here 🦠,hate,appearance,high,0.85,Attacking a group or identity
You keep tracking my activity 😐,stalking,unknown,high,0.8,Monitoring or following behaviour
Get lost 🦍,aggression,academic,medium,0.6,Hostile or forceful language
You never understand anything 🐷,insult,individual,medium,0.3,Direct rude or demeaning comment
You are really dumb 😏,insult,group,low,0.25,Direct rude or demeaning comment
Everyone here is awful 🤮,toxicity,appearance,low,0.35,Generally negative and abusive tone
Back off now 💥,aggression,teacher,low,0.55,Hostile or forceful language
Back off now 😑,aggression,gender,medium,0.6,Hostile or forceful language
Get lost 🚫,aggression,group,low,0.55,Hostile or forceful language
Leave this group now 🤚,exclusion,academic,high,0.55,Trying to isolate someone
Stop texting me again and again 💥,harassment,unknown,high,0.6,Repeated or unwanted contact
Stop texting me again and again 🌑,harassment,academic,medium,0.5,Repeated or unwanted contact
Nobody wants you here 🚫,exclusion,academic,high,0.55,Trying to isolate someone
Wait and see what happens to you 🙅,threat,teacher,high,0.95,Warning of harm or consequences
That was a stupid answer 🪳,insult,teacher,medium,0.3,Direct rude or demeaning comment
You never understand anything 😠,insult,individual,medium,0.3,Direct rude or demeaning comment
Why are you always watching me 🤮,stalking,group,high,0.8,Monitoring or following behaviour
You never understand anything 🦠,insult,unknown,low,0.25,Direct rude or demeaning comment
You will regret this 😠,threat,academic,high,0.95,Warning of harm or consequences
You will regret this 🤢,threat,gender,high,0.95,Warning of harm or consequences
Leave me alone already 👎,harassment,gender,medium,0.5,Repeated or unwanted contact
That was a stupid answer 💔,insult,group,medium,0.3,Direct rude or demeaning comment
This group is so toxic 🙅,toxicity,appearance,medium,0.4,Generally negative and abusive tone
Leave me alone already 🤢,harassment,teacher,medium,0.5,Repeated or unwanted contact
Shut up already 🚪,aggression,gender,medium,0.6,Hostile or forceful language
You will regret this ☠️,threat,individual,high,1.0,Warning of harm or consequences
Why do you keep messaging me 🫥,harassment,individual,medium,0.5,Repeated or unwanted contact
You will regret this 💩,threat,gender,high,0.95,Warning of harm or consequences
Leave this group now 🛑,exclusion,unknown,medium,0.45,Trying to isolate someone
You are really dumb 💣,insult,unknown,low,0.3,Direct rude or demeaning comment
I will report you to the admin 🚨,threat,teacher,high,0.95,Warning of harm or consequences
This group is so toxic 🌈,toxicity,teacher,medium,0.4,Generally negative and abusive tone
Your kind is not welcome here 🪰,hate,group,high,0.85,Attacking a group or identity
You are not part of this team 🐷,exclusion,academic,high,0.55,Trying to isolate someone
I will report you to the admin 🌈,threat,individual,high,0.95,Warning of harm or consequences
People like you are disgusting 💀,hate,unknown,high,0.9,Attacking a group or identity
Stop following me everywhere 🫥,stalking,teacher,high,0.8,Monitoring or following behaviour
Leave me alone already 🕵️,harassment,appearance,medium,0.5,Repeated or unwanted contact
Can someone share the notes please 😄,neutral,gender,low,0.0,Normal conversational message
Everyone here is awful 👿,toxicity,unknown,medium,0.4,Generally negative and abusive tone
Leave me alone already 👀,harassment,individual,high,0.6,Repeated or unwanted contact
Leave this group now 💢,exclusion,unknown,medium,0.45,Trying to isolate someone
Nobody wants you here 🦛,exclusion,unknown,high,0.55,Trying to isolate someone
You are really dumb 🚪,insult,gender,medium,0.3,Direct rude or demeaning comment
Leave me alone already 🥶,harassment,unknown,high,0.6,Repeated or unwanted contact
Shut up already 🤣,aggression,individual,medium,0.6,Hostile or forceful language
People like you are disgusting 📸,hate,teacher,high,0.85,Attacking a group or identity
You are really dumb 💢,insult,appearance,medium,0.3,Direct rude or demeaning comment
You never understand anything 🤣,insult,gender,low,0.25,Direct rude or demeaning comment
People like you are disgusting 🌑,hate,teacher,high,0.85,Attacking a group or identity
Why are you always watching me 💢,stalking,academic,high,0.8,Monitoring or following behaviour
Let's meet after class 📝,neutral,appearance,low,0.0,Normal conversational message
Everyone here is awful ⚡,toxicity,group,low,0.35,Generally negative and abusive tone
Nobody wants you here 📸,exclusion,academic,medium,0.45,Trying to isolate someone
Leave me alone already 🤬,harassment,individual,high,0.6,Repeated or unwanted contact
Wait and see what happens to you 😠,threat,unknown,high,0.95,Warning of harm or consequences
You are not part of this team 🛑,exclusion,group,medium,0.45,Trying to isolate someone
Stop texting me again and again 🤡,harassment,appearance,high,0.6,Repeated or unwanted contact
Your kind is not welcome here ❌,hate,academic,high,0.85,Attacking a group or identity
You will regret this 🦧,threat,teacher,high,0.95,Warning of harm or consequences
Nobody wants you here 💥,exclusion,individual,high,0.55,Trying to isolate someone
People like you are disgusting ⚠️,hate,unknown,high,0.85,Attacking a group or identity
You are really dumb 🔥,insult,gender,medium,0.3,Direct rude or demeaning comment
You are really dumb 💀,insult,unknown,medium,0.35,Direct rude or demeaning comment
People like you are disgusting 💣,hate,academic,high,0.9,Attacking a group or identity
You will regret this 💣,threat,individual,high,1.0,Warning of harm or consequences
This group is so toxic 🐷,toxicity,gender,medium,0.4,Generally negative and abusive tone
You will regret this 🚨,threat,group,high,0.95,Warning of harm or consequences
Back off now 💔,aggression,appearance,medium,0.6,Hostile or forceful language
Can someone share the notes please 🙌,neutral,individual,low,0.0,Normal conversational message
Wait and see what happens to you 📛,threat,individual,high,0.95,Warning of harm or consequences
